"Title","Latitude","Longitude","Description","LocalPath"
"1d0000097a_20250820_080005_Delay+4s_1024x768_Cam00_00.jpg",45.5603104,25.7952816,"ID: 1d0000097a | UTC: 2025-08-20 08:00:05","C:/tmp/github/stork-log-photos/1d0000097a_20250820_080005_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250820_160000_Delay+5s_1024x768_Cam00_00.jpg",43.863296,27.1415904,"ID: 1d0000097a | UTC: 2025-08-20 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250820_160000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250821_080000_Delay+4s_1024x768_Cam00_00.jpg",43.4161984,27.4265152,"ID: 1d0000097a | UTC: 2025-08-21 08:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250821_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250821_120000_Delay+4s_1024x768_Cam00_00.jpg",42.7287488,27.58256,"ID: 1d0000097a | UTC: 2025-08-21 12:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250821_120000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250821_140000_Delay+4s_1024x768_Cam00_00.jpg",42.7293888,27.5965088,"ID: 1d0000097a | UTC: 2025-08-21 14:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250821_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250821_160000_Delay+5s_1024x768_Cam00_00.jpg",42.7302336,27.5963584,"ID: 1d0000097a | UTC: 2025-08-21 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250821_160000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250822_080000_Delay+4s_1024x768_Cam00_00.jpg",42.388288,27.5424032,"ID: 1d0000097a | UTC: 2025-08-22 08:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250822_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250822_100000_Delay+4s_1024x768_Cam00_00.jpg",42.0587552,27.8646272,"ID: 1d0000097a | UTC: 2025-08-22 10:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250822_100000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250822_120000_Delay+5s_1024x768_Cam00_00.jpg",41.7635264,27.981728,"ID: 1d0000097a | UTC: 2025-08-22 12:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250822_120000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250822_140000_Delay+4s_1024x768_Cam00_00.jpg",41.4059904,28.3569824,"ID: 1d0000097a | UTC: 2025-08-22 14:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250822_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250822_160000_Delay+4s_1024x768_Cam00_00.jpg",41.2949376,28.521968,"ID: 1d0000097a | UTC: 2025-08-22 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250822_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250823_040000_Delay+5s_1024x768_Cam00_00.jpg",41.2830464,28.5336064,"ID: 1d0000097a | UTC: 2025-08-23 04:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250823_040000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250823_060000_Delay+4s_1024x768_Cam00_00.jpg",41.2636896,28.5442016,"ID: 1d0000097a | UTC: 2025-08-23 06:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250823_060000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250823_080000_Delay+4s_1024x768_Cam00_00.jpg",40.9374528,29.1112288,"ID: 1d0000097a | UTC: 2025-08-23 08:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250823_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250823_120000_Delay+4s_1024x768_Cam00_00.jpg",40.1906272,30.3532704,"ID: 1d0000097a | UTC: 2025-08-23 12:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250823_120000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250823_140000_Delay+4s_1024x768_Cam00_00.jpg",39.6769824,30.7997792,"ID: 1d0000097a | UTC: 2025-08-23 14:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250823_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250824_060000_Delay+5s_1024x768_Cam00_00.jpg",39.1769824,31.5350496,"ID: 1d0000097a | UTC: 2025-08-24 06:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250824_060000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250824_160000_Delay+4s_1024x768_Cam00_00.jpg",36.9343936,34.6871712,"ID: 1d0000097a | UTC: 2025-08-24 16:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250824_160000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250825_040000_Delay+5s_1024x768_Cam00_00.jpg",36.9346656,34.685424,"ID: 1d0000097a | UTC: 2025-08-25 04:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250825_040000_Delay+5s_1024x768_Cam00_00.jpg"
"1d0000097a_20250825_060000_Delay+4s_1024x768_Cam00_00.jpg",36.9401824,34.6866912,"ID: 1d0000097a | UTC: 2025-08-25 06:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250825_060000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097a_20250825_080000_Delay+4s_1024x768_Cam00_00.jpg",36.762192,35.2664,"ID: 1d0000097a | UTC: 2025-08-25 08:00:00","C:/tmp/github/stork-log-photos/1d0000097a_20250825_080000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250811_140000_Delay+4s_1024x768_Cam00_00.jpg",49.7358464,18.66284,"ID: 1d0000097d | UTC: 2025-08-11 14:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250811_140000_Delay+4s_1024x768_Cam00_00.jpg"
"1d0000097d_20250812_040000_Delay+5s_1024x768_Cam00_00.jpg",49.3388224,19.401592,"ID: 1d0000097d | UTC: 2025-08-12 04:00:00","C:/tmp/github/stork-log-photos/1d0000097d_20250812_040000_Delay+5s_1024x768_Cam00_00.jpg"
